id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_risiko_bencana,satuan,tahun
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,143.43,POIN,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,142.15,POIN,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,136.79,POIN,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,171.91,POIN,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,137.31,POIN,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,174.43,POIN,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,132.89,POIN,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,110.22,POIN,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,145.44,POIN,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,75.75,POIN,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,114.4,POIN,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,122.3,POIN,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,172.76,POIN,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,131.6,POIN,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,89.63,POIN,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,105.41,POIN,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,119.2,POIN,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,152.8,POIN,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,125.31,POIN,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,192.4,POIN,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,197.08,POIN,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,161.89,POIN,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,185.0,POIN,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,186.51,POIN,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,122.22,POIN,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,131.13,POIN,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,147.51,POIN,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,124.74,POIN,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,124.39,POIN,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,114.59,POIN,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,168.78,POIN,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,124.53,POIN,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,165.58,POIN,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,130.11,POIN,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,108.18,POIN,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,129.21,POIN,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,65.38,POIN,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,102.67,POIN,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,111.32,POIN,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,157.19,POIN,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,123.18,POIN,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,82.56,POIN,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,91.71,POIN,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,117.37,POIN,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,152.8,POIN,2021
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,116.54,POIN,2022
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,186.61,POIN,2022
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,207.62,POIN,2022
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,145.94,POIN,2022
194,32,JAWA BARAT,3205,KABUPATEN GARUT,164.91,POIN,2022
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,174.11,POIN,2022
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,133.52,POIN,2022
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,113.58,POIN,2022
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,156.58,POIN,2022
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,136.35,POIN,2022
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,129.87,POIN,2022
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,122.49,POIN,2022
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,157.25,POIN,2022
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,128.98,POIN,2022
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,157.81,POIN,2022
