kode_kemendagri,nama_clean,tahun,lat,lon,jumlah_banjir,jumlah_kejadian_bnpb,rasio_banjir_per_hujan,total_hujan_tahunan_mm,rainy_days,total_hari_hujan_ekstrem,max_hujan_harian_mm,rain_intensity_mm_per_hour_avg,avg_kelembaban_tanah,et0_fao_evapotranspiration_mm_avg,jumlah_sampah_ton_per_tahun,cluster_id_raw,skor_kerentanan,cluster_label,cluster_color,pca_1,pca_2
3204,KABUPATEN BANDUNG,2020,-7.0225,107.5286,19,18.0,0.009640265868385,1970.9,319,1,71.6,0.50561621062926,0.28856485755778,3.56087025707576,241527.8,2,0.15492837091808595,Tinggi,#E34A33,0.44750640048583573,3.251408763547172
3204,KABUPATEN BANDUNG,2021,-7.0225,107.5286,50,37.0,0.023452157598499,2132.0,314,0,49.6,0.582666061828964,0.296106907642089,3.50014522529442,269388.25,2,1.093232170311667,Tinggi,#E34A33,-1.2299804894586321,9.028666764224555
3204,KABUPATEN BANDUNG,2022,-7.0225,107.5286,25,15.0,0.0133582687683676,1871.5,330,1,51.1,0.673220332662267,0.307760335861495,3.5510958781362,204261.3,2,0.3464456982904547,Tinggi,#E34A33,-0.18691596625175472,3.8794316319758844
3204,KABUPATEN BANDUNG,2023,-7.0225,107.5286,20,14.0,0.0166417041105009,1201.8,256,0,38.9,0.521268578463307,0.255360467869944,4.0487757296467,92877.9,2,-0.23538711190250658,Tinggi,#E34A33,2.348199702498681,4.651451726817283
3205,KABUPATEN GARUT,2015,-7.2279,107.9087,5,5.0,0.0018055756175068,2769.2,270,2,92.3,0.72955462526838,0.301994577786312,3.61626113671275,237389.82,0,-0.1786634556662893,Rendah,#FEE8C8,0.6317630819361885,-0.22872153233956402
3205,KABUPATEN GARUT,2016,-7.2279,107.9087,11,14.0,0.002537017390101,4335.8,350,6,83.8,0.968437416317826,0.395888038406872,3.09729653318502,239713.5,1,0.8600053015957901,Sedang,#FDBB84,-3.3835920980774117,0.11615617300315498
3205,KABUPATEN GARUT,2017,-7.2279,107.9087,4,5.0,0.0013719773623735,2915.5,296,3,114.7,0.797127161907382,0.333291537325055,3.27305427547363,242110.63,1,0.1209971770810474,Sedang,#FDBB84,-0.5423688953259467,-0.6924649241615846
3205,KABUPATEN GARUT,2018,-7.2279,107.9087,3,2.0,0.0013498920086393,2222.4,297,6,93.6,0.584876847340127,0.296282465277778,3.53322343830005,89286.3,0,-0.23584266771202714,Rendah,#FEE8C8,0.7569609956319016,-0.6326848620999653
3205,KABUPATEN GARUT,2019,-7.2279,107.9087,21,15.0,0.0089747425103636,2339.9,282,6,138.5,0.62370710125573,0.284655678496757,3.78520302099334,288120.05,2,0.43904059749035373,Tinggi,#E34A33,-0.09521947954660086,2.836927274820074
3205,KABUPATEN GARUT,2020,-7.2279,107.9087,15,7.0,0.0036068963858898,4158.7,350,12,112.1,0.843474770635546,0.359440616760392,3.22620807069584,289890.3,1,0.9381208736578059,Sedang,#FDBB84,-3.2236273255435433,0.020829794505118054
3205,KABUPATEN GARUT,2021,-7.2279,107.9087,14,14.0,0.003732636574506,3750.7,337,7,88.4,0.849906036431268,0.361834773158815,3.2869656938044,103419.1,1,0.6854335319507272,Sedang,#FDBB84,-2.46427039363473,0.7691262697407748
3205,KABUPATEN GARUT,2022,-7.2279,107.9087,12,9.0,0.0034613054890536,3466.9,351,2,55.5,0.911692561830896,0.3772180187532,3.34433474142345,120526.65,1,0.38974181006105546,Sedang,#FDBB84,-1.8617662022414132,0.27781195280589327
3205,KABUPATEN GARUT,2023,-7.2279,107.9087,10,3.0,0.0043675751222921,2289.6,284,2,84.4,0.614205771456117,0.297358077050265,3.77350544034818,131925.6,0,-0.26669075876416,Rendah,#FEE8C8,1.1607348147663779,0.5169398849380115
3206,KABUPATEN TASIKMALAYA,2015,-7.3579,108.111,1,0.0,0.0003611151235013,2769.2,270,2,92.3,0.72955462526838,0.213794355372077,3.49121153353815,293210.71,0,-0.39112957738542264,Rendah,#FEE8C8,1.1316137276321538,-1.0948811806428067
3206,KABUPATEN TASIKMALAYA,2016,-7.3579,108.111,8,6.0,0.0018451035564371,4335.8,350,6,83.8,0.968437416317826,0.296924029399951,3.06332560870103,295533.32,1,0.6018407057484628,Sedang,#FDBB84,-2.696899375634544,-0.783843439294924
3206,KABUPATEN TASIKMALAYA,2017,-7.3579,108.111,5,1.0,0.0015492826821181,3227.3,358,4,67.1,0.756783359752628,0.277417888878222,2.96189855350742,298488.65,1,0.1497836742382851,Sedang,#FDBB84,-1.1628242967222573,-1.0699380440158208
3206,KABUPATEN TASIKMALAYA,2018,-7.3579,108.111,5,2.0,0.0015891682293487,3146.3,354,3,243.8,0.655085397756386,0.254531500416027,3.15996953405018,107868.45,1,0.42001555715890876,Sedang,#FDBB84,-1.2185890706166216,-1.246455191478371
3206,KABUPATEN TASIKMALAYA,2019,-7.3579,108.111,3,0.0,0.0011095495228937,2703.8,349,1,99.3,0.584623850012873,0.23291941910949,3.33268362775218,175915.4,0,-0.24637953041918195,Rendah,#FEE8C8,0.44485600506693745,-1.035696690740381
3206,KABUPATEN TASIKMALAYA,2020,-7.3579,108.111,6,4.0,0.0010815487778498,5547.6,366,12,118.2,0.926385734419925,0.300221354746014,2.93631729699666,176200.1,1,0.9582083075131017,Sedang,#FDBB84,-4.104660151101071,-1.6375442086965981
3206,KABUPATEN TASIKMALAYA,2021,-7.3579,108.111,1,2.0,0.0002200801091597,4543.8,364,3,118.6,0.89977108745281,0.292446532844769,3.09845308499744,40558.8,1,0.3692850009090493,Sedang,#FDBB84,-2.296403979814293,-1.936793920874956
3206,KABUPATEN TASIKMALAYA,2022,-7.3579,108.111,4,6.0,0.0008447551266076,4735.1,362,1,53.0,1.08142156200783,0.29913845766129,3.11227368151562,47457.3,1,0.36825660012890465,Sedang,#FDBB84,-2.6211090650930458,-1.2874211519100405
3206,KABUPATEN TASIKMALAYA,2023,-7.3579,108.111,3,2.0,0.0010296540362438,2913.6,343,1,74.4,0.652022597283113,0.239106982580218,3.44918061955965,25185.0,0,-0.2909263668274011,Rendah,#FEE8C8,0.36462683537581175,-0.8810045562954006
3207,KABUPATEN CIAMIS,2015,-7.3264,108.3534,3,0.0,0.0010415943337268,2880.2,287,4,63.5,0.717260135804095,0.377313662474398,3.50805043522786,94302.11,1,-0.18827936564276201,Sedang,#FDBB84,0.17072967533262176,-1.023771899966679
3207,KABUPATEN CIAMIS,2016,-7.3264,108.3534,5,4.0,0.0011185432093241,4470.1,359,3,72.4,0.988820765308344,0.451812186894904,3.18148485972068,95606.66,1,0.5514355201224199,Sedang,#FDBB84,-2.975996487216619,-1.3919351772109891
3207,KABUPATEN CIAMIS,2017,-7.3264,108.3534,4,4.0,0.0015549076773566,2572.5,355,3,97.4,0.64744432804549,0.377309536343659,3.10968029953917,96562.73,1,0.12351536806649221,Sedang,#FDBB84,-0.8412622314546524,-0.8032827705270922
3207,KABUPATEN CIAMIS,2018,-7.3264,108.3534,5,0.0,0.0020275750202757,2466.0,344,2,169.3,0.582509072472961,0.346360379597628,3.31174571172555,35211.55,1,0.08144446972151222,Sedang,#FDBB84,-0.2959270256829806,-0.9962104641180405
3207,KABUPATEN CIAMIS,2019,-7.3264,108.3534,5,0.0,0.0021413276231263,2335.0,347,3,81.2,0.503378777395962,0.316396677120669,3.47487570404506,149365.3,0,-0.22155256068773233,Rendah,#FEE8C8,0.5298610506264207,-0.6178817259980595
3207,KABUPATEN CIAMIS,2020,-7.3264,108.3534,12,10.0,0.0025990903183885,4617.0,363,8,100.8,0.83494921291186,0.399396977608866,3.05584136695093,150186.55,1,0.8918348140198673,Sedang,#FDBB84,-3.522822897993568,-0.2336355268249538
3207,KABUPATEN CIAMIS,2021,-7.3264,108.3534,12,9.0,0.0032034169781099,3746.0,361,1,64.2,0.775908068478172,0.383964493460915,3.20108237327189,42048.0,1,0.36377752393610874,Sedang,#FDBB84,-1.8679581411583344,0.17738976077024501
3207,KABUPATEN CIAMIS,2022,-7.3264,108.3534,8,6.0,0.0019247888747203,4156.3,361,2,83.9,0.971091878990893,0.396725246682454,3.25355625960061,55385.1,1,0.5037426389668916,Sedang,#FDBB84,-2.589026637527757,-0.7944962048735129
3207,KABUPATEN CIAMIS,2023,-7.3264,108.3534,6,3.0,0.0027157923324129,2209.3,347,1,50.6,0.538613616694559,0.314113784615549,3.64699257552483,26564.7,0,-0.35924821069506835,Rendah,#FEE8C8,0.8735223997552788,-0.08201905439379358
3208,KABUPATEN KUNINGAN,2015,-6.9758,108.4831,3,2.0,0.0011575860472295,2591.6,240,1,83.3,0.667738397453306,0.300577638835552,3.79631150793651,121940.66,0,-0.5116923778743078,Rendah,#FEE8C8,1.6946273434258343,-0.4910252811933506
3208,KABUPATEN KUNINGAN,2016,-6.9758,108.4831,2,2.0,0.0005919962112242,3378.4,342,1,67.7,0.830864470605671,0.379183313120546,3.33037365591398,123199.17,1,0.03812512827628372,Sedang,#FDBB84,-0.9930144984849764,-1.3414844516305235
