kode_kemendagri,nama_clean,nama_singkat,tipe,lat,lon,bps_kode,tahun,jumlah_banjir,total_hujan_tahunan_mm,rain_sum_mm,precipitation_hours_total,rainy_days,total_hari_hujan_ekstrem,max_hujan_harian_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,avg_kelembaban_tanah,rain_intensity_mm_per_hour_avg,jumlah_kejadian_bnpb,korban_meninggal,korban_hilang,korban_luka,pengungsi,rusak_berat,rusak_sedang,rusak_ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak,satuan,is_sampah_missing,rasio_banjir_per_hujan,kategori_hujan,rank_banjir_di_wilayah,total_terdampak,jumlah_sampah_ton_per_tahun,is_banjir,kategori_intensitas_banjir
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2018,4,1792.9,1792.9,2347,299,1,105.8,55.8,3.90346607782898,0.393190011627411,0.569976118076722,4,0,0,0,660,8,0,0,128,0,1,0,0,3,TON PER HARI,FALSE,0.0022310223659992,Sedang (1500-2500mm),7,660,131567.9,1,3 - Frekuensi Sedang (4-10x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2019,3,2083.9,2083.9,2470,287,2,78,52.2,4.18223931131592,0.374932476211811,0.555630732761466,1,0,0,0,26,0,0,0,3,0,0,0,0,0,TON PER HARI,FALSE,0.0014396084265079,Sedang (1500-2500mm),8,26,256580.4,1,2 - Frekuensi Rendah (1-3x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2020,4,3400.5,3400.5,3507,334,10,109.1,49.7,3.57810545668026,0.416075353659416,0.717602606760451,3,0,0,0,4851,0,0,1,237,0,0,0,0,8,TON PER HARI,FALSE,0.0011762976032936,Tinggi (2500-4000mm),7,4851,252842.8,1,3 - Frekuensi Sedang (4-10x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2021,8,3834.4,3834.4,3409,330,15,100.8,47.2,3.5591661546339,0.425093222499573,0.835746556311173,5,0,0,0,535,6,15,0,174,0,1,0,0,0,TON PER HARI,FALSE,0.0020863759649488,Tinggi (2500-4000mm),4,535,81687,1,3 - Frekuensi Sedang (4-10x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2022,12,2846.8,2846.8,2747,336,8,79.2,46.1,3.63297452636969,0.431374447164619,0.815314645586987,9,0,0,0,4552,1,1,0,999,0,0,0,1,1,TON PER HARI,FALSE,0.0042152592384431,Tinggi (2500-4000mm),2,4552,166885.3,1,4 - Frekuensi Tinggi (>10x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2023,11,1821.9,1821.9,2211,301,3,63.1,52.2,4.17848399897593,0.372923852726575,0.571667039178626,5,0,0,0,1485,2,3,13,261,3,2,0,0,0,TON PER HARI,FALSE,0.0060376529996157,Sedang (1500-2500mm),3,1485,178455.8,1,4 - Frekuensi Tinggi (>10x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2024,8,2725.5,2725.5,2551,306,10,90.2,52.9,4.03822203683105,0.396407965254604,0.739605179458256,3,4,0,1,6586,11,11,22,1474,0,0,0,0,0,,TRUE,0.0029352412401394,Tinggi (2500-4000mm),4,6591,,1,3 - Frekuensi Sedang (4-10x)
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2025,12,3286.2,3286.2,3011,328,8,69.7,52.2,3.78873790322581,0.429767438716078,0.81834281184496,5,1,0,0,4001,12,2,2,1101,0,0,0,0,1,,TRUE,0.0036516341062625,Tinggi (2500-4000mm),2,4002,,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2012,17,3532.5,3532.5,3382,324,3,107.4,70.9,3.47060987516994,0.396435890186627,0.835365009060696,5,0,0,0,76635,14,15,26,12709,2,0,0,0,0,,TRUE,0.0048124557678697,Tinggi (2500-4000mm),11,76635,,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2013,46,3851.9,3851.9,3859,347,3,90.6,62.6,3.25107923707117,0.431467570724526,0.888300277144888,54,0,0,0,167679,40,74,171,47234,0,0,0,0,0,,TRUE,0.0119421584153275,Tinggi (2500-4000mm),2,167679,,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2014,17,3412.3,3412.3,3631,351,1,50.8,49.3,3.38083934971838,0.419550528033794,0.816009932547437,17,1,0,4,44287,8,0,0,18438,23,26,0,2,0,,TRUE,0.0049819769656829,Tinggi (2500-4000mm),11,44292,,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2015,11,3107.9,3107.9,3035,314,2,66.1,53.3,3.67882693292371,0.368839320916539,0.746542428246405,9,0,0,0,9257,0,0,0,2035,0,0,0,0,0,TON PER HARI,FALSE,0.0035393674185141,Tinggi (2500-4000mm),12,9257,1156523,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2016,45,4727.8,4727.8,4287,364,2,66.8,50.8,3.07584995674206,0.445699121323075,1.02861857905145,23,0,0,0,43894,16,10,43,5007,0,1,0,0,0,TON PER HARI,FALSE,0.0095181691272896,Sangat Tinggi (>4000mm),3,43894,1166002.7,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2017,30,1527,1527,1972,274,3,76.4,66.2,3.58495628520225,0.273630354209336,0.53771907395575,10,0,0,0,87506,4,14,0,9076,0,0,0,0,0,TON PER HARI,FALSE,0.0196463654223968,Sedang (1500-2500mm),4,87506,1177662.73,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2018,19,1245.8,1245.8,1847,272,2,59.2,58.3,3.85238767281106,0.247654424816522,0.43560578774648,9,0,0,0,6242,0,2,1,27885,28,81,1,2,0,TON PER HARI,FALSE,0.0152512441804463,Rendah (<1500mm),9,6242,464528.2,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2019,18,1220.3,1220.3,1945,256,1,54.3,52.9,4.08952137736815,0.238729868844939,0.41719592587182,8,3,0,0,158377,8,10,0,20297,12,53,0,0,3,TON PER HARI,FALSE,0.0147504711956076,Rendah (<1500mm),10,158380,243476.9,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2020,19,1970.9,1970.9,3003,319,1,71.6,54,3.56087025707576,0.28856485755778,0.50561621062926,18,1,0,1,607800,3,8,0,130295,150,270,0,0,0,TON PER HARI,FALSE,0.009640265868385,Sedang (1500-2500mm),9,607802,241527.8,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2021,50,2132,2132,2998,314,0,49.6,51.8,3.50014522529442,0.296106907642089,0.582666061828964,37,0,0,4,373572,75,38,115,69312,0,0,0,0,3,TON PER HARI,FALSE,0.023452157598499,Sedang (1500-2500mm),1,373576,269388.25,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2022,25,1871.5,1871.5,2388,330,1,51.1,49,3.5510958781362,0.307760335861495,0.673220332662267,15,1,1,0,30001,2,3,0,10522,0,0,0,0,1,TON PER HARI,FALSE,0.0133582687683676,Sedang (1500-2500mm),5,30003,204261.3,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2023,20,1201.8,1201.8,1739,256,0,38.9,44.6,4.0487757296467,0.255360467869944,0.521268578463307,14,0,0,0,55503,3,6,1,10330,5,10,0,0,0,TON PER HARI,FALSE,0.0166417041105009,Rendah (<1500mm),8,55503,92877.9,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2024,21,1449.8,1449.8,1984,269,0,45.2,46.8,3.92283302434804,0.273024513219421,0.56559011250226,14,1,4,4,61262,4,5,22,12358,1,0,0,0,0,,TRUE,0.0144847565181404,Rendah (<1500mm),7,61271,,1,4 - Frekuensi Tinggi (>10x)
3204,KABUPATEN BANDUNG,BANDUNG,KAB,-7.0225,107.5286,3204,2025,23,1804.8,1804.8,2422,316,0,33.1,49,3.71398854326677,0.326777884184588,0.644194590828514,12,0,0,0,143996,40,12,5,32511,0,0,0,0,0,,TRUE,0.0127437943262411,Sedang (1500-2500mm),6,143996,,1,4 - Frekuensi Tinggi (>10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2012,7,2722.2,2722.2,2836,287,2,55,68.4,3.29393681250772,0.319624688568574,0.667921810947608,4,0,0,0,7499,3,3,7,547,0,0,0,0,0,,TRUE,0.0025714495628535,Tinggi (2500-4000mm),8,7499,,1,3 - Frekuensi Sedang (4-10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2013,11,3527.3,3527.3,3344,322,3,58,58.3,3.15892255504352,0.359390769542584,0.85439140963727,4,0,0,0,3887,0,0,0,197,0,0,0,0,0,,TRUE,0.0031185325886655,Tinggi (2500-4000mm),5,3887,,1,4 - Frekuensi Tinggi (>10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2014,9,3189,3189,3075,319,2,94.8,43.6,3.30203411418331,0.348851112871224,0.7947477448702,11,1,0,0,5906,63,1,109,1136,0,2,0,0,0,,TRUE,0.0028222013170272,Tinggi (2500-4000mm),7,5907,,1,3 - Frekuensi Sedang (4-10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2015,5,2769.2,2769.2,2634,270,2,92.3,50.8,3.61626113671275,0.301994577786312,0.72955462526838,5,0,0,0,1200,11,0,0,397,0,0,0,0,0,TON PER HARI,FALSE,0.0018055756175068,Tinggi (2500-4000mm),9,1200,237389.82,1,3 - Frekuensi Sedang (4-10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2016,11,4335.8,4335.8,3803,350,6,83.8,47.5,3.09729653318502,0.395888038406872,0.968437416317826,14,35,19,9,9387,806,433,1094,1271,50,17,2,27,0,TON PER HARI,FALSE,0.002537017390101,Sangat Tinggi (>4000mm),5,9450,239713.5,1,4 - Frekuensi Tinggi (>10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2017,4,2915.5,2915.5,2632,296,3,114.7,64.4,3.27305427547363,0.333291537325055,0.797127161907382,5,0,2,0,2438,24,3,248,524,0,0,0,0,0,TON PER HARI,FALSE,0.0013719773623735,Tinggi (2500-4000mm),10,2440,242110.63,1,3 - Frekuensi Sedang (4-10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2018,3,2222.4,2222.4,2648,297,6,93.6,55.1,3.53322343830005,0.296282465277778,0.584876847340127,2,0,0,0,0,0,0,0,5,2,0,0,0,0,TON PER HARI,FALSE,0.0013498920086393,Sedang (1500-2500mm),11,0,89286.3,1,2 - Frekuensi Rendah (1-3x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2019,21,2339.9,2339.9,2574,282,6,138.5,49.3,3.78520302099334,0.284655678496757,0.62370710125573,15,0,0,0,380,5,3,50,380,4,3,0,0,2,TON PER HARI,FALSE,0.0089747425103636,Sedang (1500-2500mm),1,380,288120.05,1,4 - Frekuensi Tinggi (>10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2020,15,4158.7,4158.7,4111,350,12,112.1,49,3.22620807069584,0.359440616760392,0.843474770635546,7,0,0,0,10600,218,320,636,2478,15,26,10,0,23,TON PER HARI,FALSE,0.0036068963858898,Sangat Tinggi (>4000mm),2,10600,289890.3,1,4 - Frekuensi Tinggi (>10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2021,14,3750.7,3750.7,3596,337,7,88.4,49.3,3.2869656938044,0.361834773158815,0.849906036431268,14,0,0,0,4010,17,7,69,507,5,4,3,1,9,TON PER HARI,FALSE,0.003732636574506,Tinggi (2500-4000mm),3,4010,103419.1,1,4 - Frekuensi Tinggi (>10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2022,12,3466.9,3466.9,3412,351,2,55.5,50.8,3.34433474142345,0.3772180187532,0.911692561830896,9,1,0,1,26815,6,28,842,5229,17,36,5,23,5,TON PER HARI,FALSE,0.0034613054890536,Tinggi (2500-4000mm),4,26817,120526.65,1,4 - Frekuensi Tinggi (>10x)
3205,KABUPATEN GARUT,GARUT,KAB,-7.2279,107.9087,3205,2023,10,2289.6,2289.6,2581,284,2,84.4,46.1,3.77350544034818,0.297358077050265,0.614205771456117,3,0,0,0,411,0,0,3,146,0,2,0,0,0,TON PER HARI,FALSE,0.0043675751222921,Sedang (1500-2500mm),6,411,131925.6,1,3 - Frekuensi Sedang (4-10x)
