kode_kemendagri,nama_clean,tahun,bulan,precipitation_sum_mm,rain_sum_mm,precipitation_hours_total,rainy_days,heavy_rain_days_50mm,max_daily_precipitation_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,soil_moisture_0_to_7cm_avg,rain_intensity_mm_per_hour_avg
3201,KABUPATEN BOGOR,2019,9,27.7,27.7,92.0,22,0,6.5,47.5,5.221333333333333,0.28068055555555554,0.25136724386724385
3201,KABUPATEN BOGOR,2019,10,103.69999999999999,103.69999999999999,149.0,25,1,61.3,47.2,4.985161290322581,0.33963037634408605,0.5405493506493506
3201,KABUPATEN BOGOR,2019,11,145.6,145.6,242.0,29,0,17.8,52.6,4.622,0.36120694444444446,0.5008174060557428
3201,KABUPATEN BOGOR,2019,12,371.8,371.8,368.0,31,1,56.9,33.8,3.484516129032258,0.4739489247311828,0.8869287746303877
3201,KABUPATEN BOGOR,2020,1,442.5,442.5,422.0,31,0,46.5,37.4,2.9803225806451614,0.4959260752688172,1.0055588243627596
3201,KABUPATEN BOGOR,2020,2,439.7,439.7,477.0,29,0,37.3,37.1,2.7306896551724136,0.49874137931034485,0.9249427974932233
3201,KABUPATEN BOGOR,2020,3,437.5,437.5,399.0,30,0,36.2,41.4,3.4106451612903226,0.4871935483870968,1.0685323762762517
3201,KABUPATEN BOGOR,2020,4,303.59999999999997,303.59999999999997,319.0,30,1,73.6,36.0,3.372666666666667,0.4900805555555555,0.8522287523564614
3201,KABUPATEN BOGOR,2020,5,200.6,200.6,256.0,30,0,26.5,29.2,3.214193548387097,0.47001344086021507,0.6906142838642838
3201,KABUPATEN BOGOR,2020,6,80.6,80.6,205.0,28,0,8.3,38.5,3.435,0.3874486111111111,0.36744786959072673
3201,KABUPATEN BOGOR,2020,7,112.0,112.0,148.0,26,1,50.7,43.6,3.7790322580645164,0.3651827956989247,0.5577541902541902
3201,KABUPATEN BOGOR,2020,8,80.5,80.5,160.0,24,0,18.7,43.6,4.34741935483871,0.31449865591397846,0.39656828703703706
3201,KABUPATEN BOGOR,2020,9,192.70000000000002,192.70000000000002,182.0,28,2,52.5,45.0,4.489333333333334,0.39482083333333334,0.7586411306947023
3201,KABUPATEN BOGOR,2020,10,290.4,290.4,284.0,31,1,56.0,42.1,3.8741935483870966,0.42004032258064516,0.943360237432818
3201,KABUPATEN BOGOR,2020,11,293.7,293.7,239.0,29,2,76.9,42.1,3.767333333333333,0.4584638888888889,0.980858285843073
3201,KABUPATEN BOGOR,2020,12,250.9,250.9,377.0,31,0,30.2,51.5,2.867096774193548,0.4750161290322581,0.6118537490645001
3201,KABUPATEN BOGOR,2021,1,347.0,347.0,439.0,30,0,32.2,37.1,2.465483870967742,0.48691397849462364,0.7248311781658464
3201,KABUPATEN BOGOR,2021,2,502.3,502.3,496.0,28,1,50.5,41.4,2.630357142857143,0.5022767857142857,0.9178601143001035
3201,KABUPATEN BOGOR,2021,3,240.8,240.8,297.0,31,0,25.1,36.7,3.6222580645161293,0.4622284946236559,0.8698572171212632
3201,KABUPATEN BOGOR,2021,4,221.6,221.6,270.0,30,0,40.1,48.6,3.5556666666666668,0.45621805555555556,0.6042524463840251
3201,KABUPATEN BOGOR,2021,5,262.7,262.7,245.0,31,2,55.6,36.7,3.584516129032258,0.4661586021505376,0.8521200707894256
3201,KABUPATEN BOGOR,2021,6,205.4,205.4,254.0,28,1,56.3,34.6,3.083666666666667,0.46739583333333334,0.7712386697103083
3201,KABUPATEN BOGOR,2021,7,86.5,86.5,128.0,22,0,37.1,39.6,3.704838709677419,0.3936760752688172,0.4582547881411518
3201,KABUPATEN BOGOR,2021,8,145.7,145.7,189.0,25,1,50.3,36.7,3.89,0.4307298387096774,0.5983202686202685
3201,KABUPATEN BOGOR,2021,9,266.8,266.8,214.0,25,2,54.2,42.1,4.032666666666667,0.44559305555555556,0.9871333461859776
3201,KABUPATEN BOGOR,2021,10,208.4,208.4,175.0,29,1,55.9,47.2,4.41258064516129,0.41567876344086024,1.050994800218938
3201,KABUPATEN BOGOR,2021,11,370.6,370.6,322.0,30,0,37.9,37.8,3.4136666666666664,0.4847916666666666,1.0598280654530654
3201,KABUPATEN BOGOR,2021,12,348.5,348.5,291.0,31,0,35.3,34.9,3.454838709677419,0.4823924731182796,1.1379693290580386
3201,KABUPATEN BOGOR,2022,1,314.6,314.6,298.0,30,0,29.4,39.2,3.603225806451613,0.48128494623655915,1.0388923584728538
3201,KABUPATEN BOGOR,2022,2,275.8,275.8,261.0,27,0,31.5,40.7,3.1114285714285717,0.48185416666666664,1.038627406846361
3201,KABUPATEN BOGOR,2022,3,308.3,308.3,249.0,31,0,28.9,43.2,3.607741935483871,0.4846048387096774,1.2693231768231772
3201,KABUPATEN BOGOR,2022,4,233.7,233.7,218.0,30,0,23.9,35.3,3.780333333333333,0.47830694444444444,0.9979458134458133
3201,KABUPATEN BOGOR,2022,5,168.9,168.9,198.0,31,0,22.9,36.4,3.385806451612903,0.4429556451612903,0.8594396732299959
3201,KABUPATEN BOGOR,2022,6,153.0,153.0,173.0,28,0,26.7,28.8,3.2346666666666666,0.4665138888888889,0.8423086734693876
3201,KABUPATEN BOGOR,2022,7,157.1,157.1,144.0,26,1,50.1,36.4,3.663870967741935,0.39405779569892474,0.7325510813972352
3201,KABUPATEN BOGOR,2022,8,119.4,119.4,167.0,29,0,20.9,47.2,4.01741935483871,0.35188844086021503,0.5835148280837935
3201,KABUPATEN BOGOR,2022,9,198.6,198.6,183.0,29,0,35.4,40.3,4.164666666666666,0.42505,0.9900482659103347
3201,KABUPATEN BOGOR,2022,10,259.7,259.7,287.0,31,0,20.7,41.0,3.7164516129032257,0.4603508064516129,0.8896036221842671
3201,KABUPATEN BOGOR,2022,11,281.1,281.1,230.0,29,0,28.5,37.4,3.7816666666666667,0.46079444444444445,1.0394996095858167
3201,KABUPATEN BOGOR,2022,12,344.6,344.6,335.0,30,0,33.1,40.3,3.4538709677419352,0.47557258064516134,1.0482287065733356
3201,KABUPATEN BOGOR,2023,1,236.6,236.6,296.0,31,0,30.3,40.3,3.47741935483871,0.4704744623655914,0.7351870709935228
3201,KABUPATEN BOGOR,2023,2,445.9,445.9,402.0,28,1,55.7,41.8,2.786785714285714,0.4902708333333333,1.03772837913843
3201,KABUPATEN BOGOR,2023,3,281.8,281.8,294.0,31,0,45.3,41.8,3.593225806451613,0.4801263440860215,0.8575234816838234
3201,KABUPATEN BOGOR,2023,4,182.5,182.5,198.0,28,0,18.3,33.8,4.090333333333333,0.4438638888888889,0.8698328952793242
3201,KABUPATEN BOGOR,2023,5,116.0,116.0,166.0,30,0,18.9,37.1,3.814516129032258,0.3817163978494624,0.5174861111111111
3201,KABUPATEN BOGOR,2023,6,58.4,58.4,122.0,26,0,9.9,33.1,3.716333333333333,0.33289027777777774,0.38743867243867236
3201,KABUPATEN BOGOR,2023,7,45.5,45.5,105.0,24,0,11.1,33.1,3.932903225806452,0.3466008064516129,0.32364583333333335
3201,KABUPATEN BOGOR,2023,8,16.8,16.8,70.0,23,0,3.2,40.7,4.65483870967742,0.28145564516129035,0.22261904761904763
3201,KABUPATEN BOGOR,2023,9,28.900000000000002,28.900000000000002,74.0,20,0,4.7,46.1,5.390666666666666,0.2875680555555556,0.3455416666666666
3201,KABUPATEN BOGOR,2023,10,64.39999999999999,64.39999999999999,117.0,28,0,16.7,46.1,5.264516129032257,0.3113440860215054,0.5650722789115646
3201,KABUPATEN BOGOR,2023,11,215.8,215.8,221.0,30,0,27.3,43.2,4.296666666666667,0.3863958333333333,0.9804198949198948
3201,KABUPATEN BOGOR,2023,12,190.0,190.0,174.0,23,0,25.2,49.7,4.557741935483871,0.3957970430107527,0.8804915076398451
3201,KABUPATEN BOGOR,2024,1,418.1,418.1,319.0,31,0,34.3,33.8,3.590967741935484,0.48290860215053766,1.241355644616156
3201,KABUPATEN BOGOR,2024,2,297.7,297.7,294.0,28,0,31.8,35.3,3.5637931034482757,0.4896580459770115,0.9207581406688548
3201,KABUPATEN BOGOR,2024,3,363.7,363.7,355.0,31,0,42.9,38.9,3.6519354838709677,0.47719086021505375,1.012350188518409
3201,KABUPATEN BOGOR,2024,4,219.6,219.6,241.0,30,0,22.5,33.8,3.8153333333333332,0.4640875,0.8952987472766883
3201,KABUPATEN BOGOR,2024,5,116.0,116.0,163.0,28,0,18.2,31.3,3.806451612903226,0.39107930107526884,0.5097925761213575
3201,KABUPATEN BOGOR,2024,6,74.10000000000001,74.10000000000001,121.0,25,0,12.3,30.6,3.694666666666667,0.37657777777777773,0.5625809523809524
3201,KABUPATEN BOGOR,2024,7,79.7,79.7,107.0,22,0,17.1,42.8,4.057096774193548,0.35301881720430106,0.5351239669421487
3201,KABUPATEN BOGOR,2024,8,28.8,28.8,77.0,22,0,6.5,55.1,4.634516129032258,0.29686155913978496,0.3401515151515151
3201,KABUPATEN BOGOR,2024,9,87.4,87.4,94.0,23,0,16.8,45.4,4.895,0.3237930555555556,0.8127536231884058
3201,KABUPATEN BOGOR,2024,10,74.7,74.7,106.0,25,0,12.1,50.0,5.336129032258064,0.33032795698924733,0.6355809523809524
3201,KABUPATEN BOGOR,2024,11,298.4,298.4,225.0,30,0,23.3,43.6,3.8346666666666667,0.42584444444444447,1.4212875376257728
