kode_kemendagri,nama_clean,tipe,tahun,jumlah_kejadian_bnpb,Meninggal,Hilang,luka_sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
3204,KABUPATEN BANDUNG,KAB,2014,17.0,1,0,4,44287,8,0,0,18438,23,26,0,2,0
3204,KABUPATEN BANDUNG,KAB,2015,9.0,0,0,0,9257,0,0,0,2035,0,0,0,0,0
3204,KABUPATEN BANDUNG,KAB,2016,23.0,0,0,0,43894,16,10,43,5007,0,1,0,0,0
3204,KABUPATEN BANDUNG,KAB,2017,10.0,0,0,0,87506,4,14,0,9076,0,0,0,0,0
3204,KABUPATEN BANDUNG,KAB,2018,9.0,0,0,0,6242,0,2,1,27885,28,81,1,2,0
3204,KABUPATEN BANDUNG,KAB,2019,8.0,3,0,0,158377,8,10,0,20297,12,53,0,0,3
3204,KABUPATEN BANDUNG,KAB,2020,18.0,1,0,1,607800,3,8,0,130295,150,270,0,0,0
3204,KABUPATEN BANDUNG,KAB,2021,37.0,0,0,4,373572,75,38,115,69312,0,0,0,0,3
3204,KABUPATEN BANDUNG,KAB,2022,15.0,1,1,0,30001,2,3,0,10522,0,0,0,0,1
3204,KABUPATEN BANDUNG,KAB,2023,14.0,0,0,0,55503,3,6,1,10330,5,10,0,0,0
3204,KABUPATEN BANDUNG,KAB,2024,14.0,1,4,4,61262,4,5,22,12358,1,0,0,0,0
3204,KABUPATEN BANDUNG,KAB,2025,12.0,0,0,0,143996,40,12,5,32511,0,0,0,0,0
3204,KABUPATEN BANDUNG,KAB,2026,8.0,2,0,3,42421,1,0,0,11951,0,0,0,0,0
3205,KABUPATEN GARUT,KAB,2009,3.0,0,0,0,320,2,0,0,66,0,0,0,0,0
3205,KABUPATEN GARUT,KAB,2010,12.0,0,1,8,0,105,0,213,421,0,4,0,0,0
3205,KABUPATEN GARUT,KAB,2011,2.0,13,0,7,1405,638,1264,1336,0,0,0,0,0,0
3205,KABUPATEN GARUT,KAB,2012,4.0,0,0,0,7499,3,3,7,547,0,0,0,0,0
3205,KABUPATEN GARUT,KAB,2013,4.0,0,0,0,3887,0,0,0,197,0,0,0,0,0
3205,KABUPATEN GARUT,KAB,2014,11.0,1,0,0,5906,63,1,109,1136,0,2,0,0,0
3205,KABUPATEN GARUT,KAB,2015,5.0,0,0,0,1200,11,0,0,397,0,0,0,0,0
3205,KABUPATEN GARUT,KAB,2016,14.0,35,19,9,9387,806,433,1094,1271,50,17,2,27,0
3205,KABUPATEN GARUT,KAB,2017,5.0,0,2,0,2438,24,3,248,524,0,0,0,0,0
3205,KABUPATEN GARUT,KAB,2018,2.0,0,0,0,0,0,0,0,5,2,0,0,0,0
3205,KABUPATEN GARUT,KAB,2019,15.0,0,0,0,380,5,3,50,380,4,3,0,0,2
3205,KABUPATEN GARUT,KAB,2020,7.0,0,0,0,10600,218,320,636,2478,15,26,10,0,23
3205,KABUPATEN GARUT,KAB,2021,14.0,0,0,0,4010,17,7,69,507,5,4,3,1,9
3205,KABUPATEN GARUT,KAB,2022,9.0,1,0,1,26815,6,28,842,5229,17,36,5,23,5
3205,KABUPATEN GARUT,KAB,2023,3.0,0,0,0,411,0,0,3,146,0,2,0,0,0
