kode_kemendagri,nama_clean,tipe,tahun,jumlah_banjir
3213,KABUPATEN SUBANG,KAB,2013,39
3213,KABUPATEN SUBANG,KAB,2014,1
3213,KABUPATEN SUBANG,KAB,2015,0
3213,KABUPATEN SUBANG,KAB,2016,1
3213,KABUPATEN SUBANG,KAB,2017,6
3213,KABUPATEN SUBANG,KAB,2018,2
3213,KABUPATEN SUBANG,KAB,2019,2
3213,KABUPATEN SUBANG,KAB,2020,7
3213,KABUPATEN SUBANG,KAB,2021,16
3213,KABUPATEN SUBANG,KAB,2022,7
3213,KABUPATEN SUBANG,KAB,2023,4
3213,KABUPATEN SUBANG,KAB,2024,10
3213,KABUPATEN SUBANG,KAB,2025,14
3214,KABUPATEN PURWAKARTA,KAB,2012,0
3214,KABUPATEN PURWAKARTA,KAB,2013,2
3214,KABUPATEN PURWAKARTA,KAB,2014,0
3214,KABUPATEN PURWAKARTA,KAB,2015,0
3214,KABUPATEN PURWAKARTA,KAB,2016,0
3214,KABUPATEN PURWAKARTA,KAB,2017,0
3214,KABUPATEN PURWAKARTA,KAB,2018,0
3214,KABUPATEN PURWAKARTA,KAB,2019,0
3214,KABUPATEN PURWAKARTA,KAB,2020,5
3214,KABUPATEN PURWAKARTA,KAB,2021,3
3214,KABUPATEN PURWAKARTA,KAB,2022,4
3214,KABUPATEN PURWAKARTA,KAB,2023,3
3214,KABUPATEN PURWAKARTA,KAB,2024,3
3214,KABUPATEN PURWAKARTA,KAB,2025,4
3215,KABUPATEN KARAWANG,KAB,2012,0
3215,KABUPATEN KARAWANG,KAB,2013,71
3215,KABUPATEN KARAWANG,KAB,2014,1
3215,KABUPATEN KARAWANG,KAB,2015,0
3215,KABUPATEN KARAWANG,KAB,2016,13
3215,KABUPATEN KARAWANG,KAB,2017,7
3215,KABUPATEN KARAWANG,KAB,2018,1
3215,KABUPATEN KARAWANG,KAB,2019,6
3215,KABUPATEN KARAWANG,KAB,2020,8
3215,KABUPATEN KARAWANG,KAB,2021,15
3215,KABUPATEN KARAWANG,KAB,2022,17
3215,KABUPATEN KARAWANG,KAB,2023,16
3215,KABUPATEN KARAWANG,KAB,2024,26
3215,KABUPATEN KARAWANG,KAB,2025,44
3216,KABUPATEN BEKASI,KAB,2012,0
3216,KABUPATEN BEKASI,KAB,2013,34
3216,KABUPATEN BEKASI,KAB,2014,3
3216,KABUPATEN BEKASI,KAB,2015,3
3216,KABUPATEN BEKASI,KAB,2016,12
3216,KABUPATEN BEKASI,KAB,2017,7
3216,KABUPATEN BEKASI,KAB,2018,5
3216,KABUPATEN BEKASI,KAB,2019,7
3216,KABUPATEN BEKASI,KAB,2020,16
3216,KABUPATEN BEKASI,KAB,2021,9
3216,KABUPATEN BEKASI,KAB,2022,7
3216,KABUPATEN BEKASI,KAB,2023,8
3216,KABUPATEN BEKASI,KAB,2024,11
3216,KABUPATEN BEKASI,KAB,2025,15
3217,KABUPATEN BANDUNG BARAT,KAB,2012,2
3217,KABUPATEN BANDUNG BARAT,KAB,2013,2
3217,KABUPATEN BANDUNG BARAT,KAB,2014,2
3217,KABUPATEN BANDUNG BARAT,KAB,2015,2
3217,KABUPATEN BANDUNG BARAT,KAB,2016,3
3217,KABUPATEN BANDUNG BARAT,KAB,2017,3
3217,KABUPATEN BANDUNG BARAT,KAB,2018,2
3217,KABUPATEN BANDUNG BARAT,KAB,2019,1
3217,KABUPATEN BANDUNG BARAT,KAB,2020,3
3217,KABUPATEN BANDUNG BARAT,KAB,2021,10
3217,KABUPATEN BANDUNG BARAT,KAB,2022,5
3217,KABUPATEN BANDUNG BARAT,KAB,2023,4
