kode_kemendagri,nama_clean,nama_singkat,tipe,lat,lon,bps_kode,tahun,jumlah_banjir,total_hujan_tahunan_mm,rain_sum_mm,precipitation_hours_total,rainy_days,total_hari_hujan_ekstrem,max_hujan_harian_mm,wind_gusts_10m_max_kmh,et0_fao_evapotranspiration_mm_avg,avg_kelembaban_tanah,rain_intensity_mm_per_hour_avg,jumlah_kejadian_bnpb,korban_meninggal,korban_hilang,korban_luka,pengungsi,rusak_berat,rusak_sedang,rusak_ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak,satuan,jumlah_sampah_ton_per_hari,is_sampah_missing,rasio_banjir_per_hujan,kategori_hujan,rank_banjir_di_wilayah,total_terdampak
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2017,5.0,1904.9,1904.9,2432.0,328.0,2.0,54.4,57.6,3.70567191500256,0.3956199263419526,0.5550103420500815,3.0,2.0,1.0,2.0,162.0,5.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,TON PER HARI,364065.95,False,0.002624809701296656,Sedang (1500-2500mm),6.0,167.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2018,4.0,1792.9,1792.9,2347.0,299.0,1.0,105.8,55.8,3.903466077828981,0.3931900116274108,0.5699761180767221,4.0,0.0,0.0,0.0,660.0,8.0,0.0,0.0,128.0,0.0,1.0,0.0,0.0,3.0,TON PER HARI,360.46,False,0.002231022365999219,Sedang (1500-2500mm),7.0,660.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2019,3.0,2083.9,2083.9,2470.0,287.0,2.0,78.0,52.2,4.182239311315924,0.3749324762118109,0.555630732761466,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,TON PER HARI,702.96,False,0.0014396084265079897,Sedang (1500-2500mm),8.0,26.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2020,4.0,3400.5,3400.5,3507.0,334.0,10.0,109.1,49.7,3.578105456680262,0.4160753536594158,0.717602606760451,3.0,0.0,0.0,0.0,4851.0,0.0,0.0,1.0,237.0,0.0,0.0,0.0,0.0,8.0,TON PER HARI,692.72,False,0.0011762976032936333,Tinggi (2500-4000mm),7.0,4851.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2021,8.0,3834.4,3834.4,3409.0,330.0,15.0,100.8,47.2,3.5591661546338966,0.4250932224995733,0.8357465563111726,5.0,0.0,0.0,0.0,535.0,6.0,15.0,0.0,174.0,0.0,1.0,0.0,0.0,0.0,TON PER HARI,223.8,False,0.002086375964948884,Tinggi (2500-4000mm),4.0,535.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2022,12.0,2846.8,2846.8,2747.0,336.0,8.0,79.2,46.1,3.632974526369688,0.4313744471646185,0.8153146455869869,9.0,0.0,0.0,0.0,4552.0,1.0,1.0,0.0,999.0,0.0,0.0,0.0,1.0,1.0,TON PER HARI,457.22,False,0.004215259238443164,Tinggi (2500-4000mm),2.0,4552.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2023,11.0,1821.9,1821.9,2211.0,301.0,3.0,63.1,52.2,4.178483998975934,0.3729238527265745,0.5716670391786257,5.0,0.0,0.0,0.0,1485.0,2.0,3.0,13.0,261.0,3.0,2.0,0.0,0.0,0.0,TON PER HARI,488.92,False,0.006037652999615785,Sedang (1500-2500mm),3.0,1485.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2024,8.0,2725.5,2725.5,2551.0,306.0,10.0,90.2,52.9,4.038222036831047,0.3964079652546039,0.7396051794582563,3.0,4.0,0.0,1.0,6586.0,11.0,11.0,22.0,1474.0,0.0,0.0,0.0,0.0,0.0,,,True,0.002935241240139424,Tinggi (2500-4000mm),4.0,6591.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2025,12.0,3286.2,3286.2,3011.0,328.0,8.0,69.7,52.2,3.7887379032258064,0.4297674387160778,0.81834281184496,5.0,1.0,0.0,0.0,4001.0,12.0,2.0,2.0,1101.0,0.0,0.0,0.0,0.0,1.0,,,True,0.0036516341062625525,Tinggi (2500-4000mm),2.0,4002.0
3203,KABUPATEN CIANJUR,CIANJUR,KAB,-6.8226,107.1394,3203,2026,,,,,,,,,,,,2.0,2.0,0.0,0.0,91.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,93.0
