kode_kemendagri,nama_clean,tipe,tahun,satuan,jumlah_sampah_tahunan
3213,KABUPATEN SUBANG,KAB,2018,TON PER HARI,257.03
3213,KABUPATEN SUBANG,KAB,2019,TON PER HARI,739.09
3213,KABUPATEN SUBANG,KAB,2020,TON PER HARI,746.96
3213,KABUPATEN SUBANG,KAB,2021,TON PER HARI,535.5
3213,KABUPATEN SUBANG,KAB,2022,TON PER HARI,510.0
3213,KABUPATEN SUBANG,KAB,2023,TON PER HARI,2.6
3214,KABUPATEN PURWAKARTA,KAB,2015,TON PER HARI,148302.83
3214,KABUPATEN PURWAKARTA,KAB,2016,TON PER HARI,149847.65
3214,KABUPATEN PURWAKARTA,KAB,2017,TON PER HARI,151346.13
3214,KABUPATEN PURWAKARTA,KAB,2018,TON PER HARI,157.21
3214,KABUPATEN PURWAKARTA,KAB,2019,TON PER HARI,280.64
3214,KABUPATEN PURWAKARTA,KAB,2020,TON PER HARI,283.43
3214,KABUPATEN PURWAKARTA,KAB,2021,TON PER HARI,170.16
3214,KABUPATEN PURWAKARTA,KAB,2022,TON PER HARI,163.79
3214,KABUPATEN PURWAKARTA,KAB,2023,TON PER HARI,10.94
3215,KABUPATEN KARAWANG,KAB,2015,TON PER HARI,461023.63
3215,KABUPATEN KARAWANG,KAB,2016,TON PER HARI,465372.91
3215,KABUPATEN KARAWANG,KAB,2017,TON PER HARI,470026.64
3215,KABUPATEN KARAWANG,KAB,2018,TON PER HARI,480.17
3215,KABUPATEN KARAWANG,KAB,2019,TON PER HARI,682.11
3215,KABUPATEN KARAWANG,KAB,2020,TON PER HARI,677.34
3215,KABUPATEN KARAWANG,KAB,2021,TON PER HARI,449.2
3215,KABUPATEN KARAWANG,KAB,2022,TON PER HARI,349.15
3215,KABUPATEN KARAWANG,KAB,2023,TON PER HARI,362.12
3216,KABUPATEN BEKASI,KAB,2015,TON PER HARI,565157.03
3216,KABUPATEN BEKASI,KAB,2016,TON PER HARI,571300.04
3216,KABUPATEN BEKASI,KAB,2017,TON PER HARI,577013.04
3216,KABUPATEN BEKASI,KAB,2018,TON PER HARI,744.97
3216,KABUPATEN BEKASI,KAB,2019,TON PER HARI,1222.48
3216,KABUPATEN BEKASI,KAB,2020,TON PER HARI,1064.93
3216,KABUPATEN BEKASI,KAB,2021,TON PER HARI,568.44
3216,KABUPATEN BEKASI,KAB,2022,TON PER HARI,733.79
3216,KABUPATEN BEKASI,KAB,2023,TON PER HARI,52.16
3217,KABUPATEN BANDUNG BARAT,KAB,2015,TON PER HARI,377371.42
3217,KABUPATEN BANDUNG BARAT,KAB,2016,TON PER HARI,380451.84
3217,KABUPATEN BANDUNG BARAT,KAB,2017,TON PER HARI,384256.35
3217,KABUPATEN BANDUNG BARAT,KAB,2018,TON PER HARI,410.0
3217,KABUPATEN BANDUNG BARAT,KAB,2019,TON PER HARI,820.88
3217,KABUPATEN BANDUNG BARAT,KAB,2020,TON PER HARI,826.78
3217,KABUPATEN BANDUNG BARAT,KAB,2021,TON PER HARI,144.8
3217,KABUPATEN BANDUNG BARAT,KAB,2022,TON PER HARI,311.89
3217,KABUPATEN BANDUNG BARAT,KAB,2023,TON PER HARI,14.0
3218,KABUPATEN PANGANDARAN,KAB,2015,TON PER HARI,68758.79
3218,KABUPATEN PANGANDARAN,KAB,2016,TON PER HARI,69687.97
3218,KABUPATEN PANGANDARAN,KAB,2017,TON PER HARI,70384.85
3218,KABUPATEN PANGANDARAN,KAB,2018,TON PER HARI,69.69
3218,KABUPATEN PANGANDARAN,KAB,2019,TON PER HARI,182.67
3218,KABUPATEN PANGANDARAN,KAB,2020,TON PER HARI,183.63
3218,KABUPATEN PANGANDARAN,KAB,2021,TON PER HARI,29.7
3218,KABUPATEN PANGANDARAN,KAB,2022,TON PER HARI,63.28
3218,KABUPATEN PANGANDARAN,KAB,2023,TON PER HARI,87.87
3271,KOTA BOGOR,KOTA,2015,TON PER HARI,862982.97
3271,KOTA BOGOR,KOTA,2016,TON PER HARI,867942.64
3271,KOTA BOGOR,KOTA,2017,TON PER HARI,876622.07
3271,KOTA BOGOR,KOTA,2018,TON PER HARI,936.16
3271,KOTA BOGOR,KOTA,2019,TON PER HARI,453.0
3271,KOTA BOGOR,KOTA,2020,TON PER HARI,414.03
3271,KOTA BOGOR,KOTA,2021,TON PER HARI,534.5
3271,KOTA BOGOR,KOTA,2022,TON PER HARI,522.5
3271,KOTA BOGOR,KOTA,2023,TON PER HARI,185.33
3272,KOTA SUKABUMI,KOTA,2015,TON PER HARI,267302.34
3272,KOTA SUKABUMI,KOTA,2016,TON PER HARI,268851.89
3272,KOTA SUKABUMI,KOTA,2017,TON PER HARI,274228.93
